,Publication,Date,Title,Content
0,Ansa,2024-09-24,"
                              Israele martella il Libano, uccisi due operatori dell'Onu
                            ","     Il cielo di Tel Aviv ha rimbombato per tutta la notte e la giornata al passaggio dei caccia diretti in Libano. Ben 250 jet militari dell'Aeronautica, secondo l'esercito, si sono alzati in volo tra lunedì e martedì dalla base militare nel centro di Israele di Tel Nof e delle altre in Golan per colpire l'arsenale con cui Hezbollah attacca da 354 giorni il nord del Paese e l'area di Haifa, con due milioni di residenti.     La fuga di massa dei libanesi dal sud ha allontanato da casa già 20 mila persone, secondo le autorità del Paese. I media hanno mostrato la popolazione in interminabili code sulle strade verso luoghi più sicuri. Mentre le vittime dei raid, secondo un bilancio fornito da Beirut, sono salite a 558, ""tra cui 50 bambini"". Uccisi anche due membri dello staff dell'Unhcr, l'agenzia dell'Onu per i rifugiati: ad annunciarlo è stato il direttore generale Filippo Grandi su X, criticando gli attacchi aerei israeliani che stanno ""mietendo centinaia di vittime civili"".       Nel primo pomeriggio l'Iaf ha preso di mira un edificio residenziale a Beirut sud, nella zona di Rabiri, quartier generale del partito di Dio. Tre piani di una palazzina sono stati polverizzati, l'obiettivo era il comandante militare dell'unità missili e razzi del gruppo sciita Ibrahim Qubaisi.     Responsabile anche, secondo Gerusalemme, dell'attacco nel 2000 in cui furono uccisi e rapiti tre soldati dell'Idf i cui corpi furono restituiti in uno scambio nel 2004. Con quello di oggi sono cinque gli attacchi a Beirut dall'inizio della guerra. Qubaisi era in riunione con altri capi militari, probabilmente sono morti anche loro.     Parlando all'assemblea generale dell'Onu, nel suo ultimo intervento da presidente, Joe Biden ha dichiarato che ""una soluzione diplomatica è ancora possibile tra Israele e Hezbollah"", aggiungendo che ""Hezbollah, senza essere provocato, dopo il massacro del 7 ottobre, ha lanciato razzi su Israele: quasi un anno dopo, troppi su entrambi i lati del confine rimangono sfollati"". Poi ha ripercorso le atrocità di Hamas del 7 ottobre, dagli stupri ai ragazzi uccisi al festival, e ha invitato Netanyahu e Hamas ad accettare l'accordo di tregua e rilascio degli ostaggi. In precedenza, il presidente iraniano Masoud Pezeshkian, a New York per l'assemblea delle Nazioni Unite, ha parlato con la Cnn spiegando che il partito di Dio ""non può restare da solo"" contro Israele: ""Non dobbiamo permettere che il Libano diventi un'altra Gaza"", ha affermato.       Stessa frase pronunciata dal segretario dell'Onu Antonio Guterres davanti all'assemblea: ""Il mondo non può permettersi che il Libano diventi un'altra Gaza"". Dove peraltro oggi i combattimenti sono continuati. Con l'Idf che ha fatto sapere di aver colpito terroristi armati di lanciarazzi, mentre Hamas ha spiegato che erano ""9 civili"".     Nel mentre, i miliziani di Hassan Nasrallah, nonostante le enormi perdite, non sono rimasti a guardare. Durante la giornata hanno tirato complessivamente 270 razzi sulla Galilea e nella zona di Haifa, rivendicando i lanci. In un resoconto serale, da parte sua l'Idf ha detto che da ieri mattina sono stati distrutti circa 400 lanciarazzi a medio raggio, 70 depositi di armi e 80 tra droni e missili da crociera nella disponibilità di Hezbollah. Oltre 1.500 obiettivi sono stati colpiti in 200 diverse aree del Paese dei cedri, sparando circa 2 mila ordigni.     Il premier Benyamin Netanyahu, che ha abbreviato il viaggio in America e parlerà all'Onu giovedì e non venerdì, ha avvertito con forza: ""Israele continuerà a colpire Hezbollah. La nostra guerra non è contro i libanesi - con cui vogliamo vivere in pace - ma è contro l'organizzazione terroristica di Nasrallah. Vi sta portando sull'orlo dell'abisso"", ha continuato. ""Vi ho detto di evacuare le case dove hanno messo un missile nel soggiorno e un razzo nel garage. Chi ha un missile nel soggiorno e un razzo nel garage non avrà più una casa"". Il capo di stato maggiore Herzi Halevi ha aggiunto: ""Non dobbiamo dare tregua al gruppo sciita, accelereremo le operazioni offensive"".     L'escalation ha indotto 16 compagnie aeree che ancora operavano su Tel Aviv a sospendere i voli, tra cui Lufthansa, Iberia e British Airways. In serata sono ripresi gli attacchi su Israele: tre droni hanno preso di mira il Monte Carmelo a Haifa. Non tutti sono stati abbattuti.    "
1,Ansa,2024-09-24,"
                                    A Bergamo il Como batte l'Atalanta 3-2 CRONACA e FOTO
                                  ","A Bergamo, il Como batte l'Atalanta 3-2. Ai lariani il posticipo della quinta giornata di campionato a breve il servizio LA CLASSIFICA di SERIE A RIVEDI IL LIVE      "
2,Ansa,2024-09-24,"
                                    Biden all'Onu: 'Putin ha fallito, il mondo stia con Kiev'
                                  ","    La guerra di Vladimir Putin ""è fallita"" e ora il mondo deve scegliere da che parte stare: ""noi non cesseremo di sostenere"" Kiev e non ""distoglieremo lo sguardo"" fino a che ""l'Ucraina non otterrà una pace giusta e duratura"". Joe Biden ha usato il suo quarto e ultimo intervento all'Assemblea dell'Onu per rafforzare il fronte pro-Kiev contro la guerra della Russia. In venticinque minuti di discorso, in cui ha elencato anche i suoi successi, il presidente si è congedato dal grande palcoscenico mondiale e ha provato a tracciare la strada per il futuro: ""Le forze che ci uniscono devono essere più forti di quelle che ci separano. Ai leader dico che siamo a un punto di svolta: le scelte di oggi determineranno il futuro"".     I prossimi mesi saranno cruciali per Biden e per la sua eredità. Sul fronte dell'Ucraina il presidente è impegnato in prima fila e giovedì riceverà alla Casa Bianca Volodymyr Zelensky, che gli presenterà nel dettaglio il suo ""piano per la vittoria"". Un'iniziativa che, secondo indiscrezioni, ha lasciato freddi diversi funzionari occidentali, convinti che non presenti novità e non sia in grado di imprimere una svolta al conflitto.       La guerra è ""più vicina alla fine di quanto si pensi"", ha invece detto Zelensky ai microfoni di Abc, sottolineando che senza il permesso degli alleati di usare le armi a lungo raggio in Russia ""Putin continuerà a distruggerci"". L'analisi del presidente ucraino è stata respinta seccamente da Mosca: la guerra finirà ""non appena gli obiettivi"" delle truppe russe saranno raggiunti, ha tagliato corto il portavoce del Cremlino Dmitry Peskov.     Il braccio di ferro a distanza fra Kiev e Mosca è andato in scena anche al Consiglio di sicurezza dell'Onu, che si è svolto alla presenza di Zelensky e al quale l'Italia è stata rappresentata dal ministro degli Esteri Antonio Tajani.     All'appuntamento era però assente il ministro degli Esteri russo, Serghei Lavrov.     La riunione si è svolta mentre Biden continua a tessere la sua tela anche per stemperare le tensioni in Medio Oriente. ""E' ora di finalizzare l'accordo per il cessate il fuoco e riportare gli ostaggi a casa, liberare Gaza dalla morsa di Hamas, allentare le sofferenze nella Striscia e mettere fine a questa guerra"", ha spiegato. In merito alla situazione in Libano, ha poi osservato: una guerra totale ""non è nell'interesse di nessuno"". Ormai agli ultimi scampoli della sua presidenza, Biden si sta battendo senza sosta da mesi per mettere fine alla guerra a Gaza. E di recente anche per trovare una soluzione diplomatica sul Libano, per la quale resta convinto che gli spazi ancora esistano. Uno sforzo continuo per cercare di evitare che chi gli succederà si trovi subito alle prese con due crisi profonde, come quella con cui lui si è scontrato nella sua presidenza mettendo fine alla guerra in Afghanistan.     Nonostante l'Ucraina e Gaza, il presidente americano - fra citazioni di William Butler Yeats e Nelson Mandela - si è dichiarato ottimista perché, ""guardando ai decenni indietro, continuo a nutrire speranza"". Biden ha citato infatti la fine della Guerra Fredda e dell'incubo nucleare come esempio di crisi risolte in passato. ""Le cose possono migliorare, non dovremmo mai dimenticarlo. L'ho visto durante la mia carriera"", ha osservato, cercando di inviare un messaggio di speranza. ""So che molti guardano il mondo oggi e vedono difficoltà e reagiscono con disperazione. Ma io non lo faccio. Come leader - ha detto rivolgendosi ai presenti in sala - non possiamo permetterci questo lusso"". Poi un accenno al suo passo indietro nella corsa alla Casa Bianca: ""Qualcosa è più importante di rimanere al potere: la tua gente. Noi siamo qui per servire la gente, non il contrario. Preservare la democrazia è stata una causa centrale della mia presidenza. Per quanto ami questo lavoro, amo di più il mio Paese ed è il momento per una nuova generazione"", ha concluso tra gli applausi della sala.    "
3,Ansa,2024-09-24,"
                                    Il referendum sulla cittadinanza raggiunge 500 mila firme. Meloni: 'L'Italia ha un'ottima legge'
                                  ","Il referendum sulla cittadinanza, promosso da diverse realtà tra cui Più Europa, ha appena raggiunto le 500mila firme richieste. Lo annuncia, interpellato dall'ANSA, il segretario di Più Europa, Riccardo Magi. Il quesito propone di dimezzare da 10 a 5 anni di residenza legale continuativa il termine dopo il quale i cittadini stranieri possono ottenere la cittadinanza italiana. Si tornerebbe a quanto previsto ""dalla legislazione prima del 1992 e ci si allineerebbe a quanto stabilito in diversi altri Stati Ue"", spiega Magi. ""Ritengo che 10 anni siano un tempo congruo per la cittadinanza e che l'Italia abbia una ottima legge"" al riguardo. Lo ha detto Giorgia Meloni rispondendo, a New York, ad una domanda sulla raccolta delle firme per il referendum sulla cittadinanza. ""Non vedo quindi la necessità di cambiarla"". Poi se ci sarà il referendum, ""questa è la democrazia"", ha aggiunto.   ""Gli italiani dimostrano una grande voglia di partecipazione e di non essere rassegnati al modo ideologico con cui questo governo tratta temi centrali per il futuro del paese come la riforma della cittadinanza. Grazie a tutti quelli che hanno creduto a questa possibilità in condizioni difficilissime"", prosegue Magi che sottolinea: ""Inizialmente erano pochissimi"". Il segretario di Più Europa ringrazia anche ""tutti i soggetti del comitato promotore, le personalità che hanno firmato e gli attivisti. Chiediamo agli italiani di continuare a firmare nei prossimi giorni dando ancora più forza a questa iniziativa popolare"". Interpellato sui tempi del referendum Magi spiega: ""Ci deve essere prima il vaglio di ammissibilità della Corte costituzionale a febbraio, poi prevediamo il voto in primavera"". ""Raggiunte e superate le 500mila firme per il Referendum Cittadinanza! Ora non fermiamoci, continuiamo a firmare per aumentare il sostegno al referendum e anche per la legge di iniziativa popolare per il salario minimo!"". Lo scrive sui social la segretaria del Pd, Elly Schlein.      "
4,Ansa,2024-09-24,"
                                  Uccide l'ex davanti ai figli a Torino, aveva il braccialetto elettronico. Tentato femminicidio a Novara
                                "," L'ennesima lite della coppia, violenta come molte altre prima, stavolta è finita nel sangue: lei è stata accoltellata al torace, uccisa. È accaduto nonostante l'ex marito avesse da agosto il divieto di avvicinamento e un braccialetto elettronico per impedirgli di violare il provvedimento. Il dispositivo antiviolenza però non ha funzionato, non è chiaro per quale motivo. Così il femminicidio si è consumato la scorsa notte, in un appartamento alla periferia di Torino, a cavallo tra i quartieri Aurora e Barriera di Milano, in via Cigna, dove la donna, Roua Nabi, tunisina, 34 anni, viveva con i loro due figli minorenni. Ben Alaya Abdelkader, connazionale, 48 anni, ha agito davanti ai loro bambini.         PODCAST DELLA SERIE FRIDA      Una giornata nera in Piemonte per la violenza sulle donne, perché intorno alle 8 di mattina, davanti a una scuola di Soriso, in provincia di Novara, un'altra donna è stata prima investita, poi accoltellata dall'ex marito, che l'ha ferita gravemente. Anche lei è stata aggredita sotto gli occhi del figlio, di 7 anni. Ma lei, nonostante le gravi ferite, se la caverà. A Torino, invece, la 34enne tunisina è stata uccisa dopo che urla e minacce risuonavano nel condominio già da poco prima delle 23.30. La donna, casalinga, era nell'appartamento coi due figli, di 12 e 13 anni. L'ex marito, che da tempo abitava non distante, in corso Vercelli, era arrivato da lei nonostante il divieto e col braccialetto che serve a segnalare alle forze dell'ordine la presenza vicino a quella donna. Eppure l'ha uccisa da vicino, con un solo fendente all'altezza del polmone. Mentre la figlia dodicenne, in lacrime, correva dai vicini a chiedere aiuto: ""Papà sta picchiando mamma"", l'uomo era già scappato in strada, inseguito dal figlio adolescente, che, disperato, urlava ai passanti di fermare il padre. Una fuga che è durata solo alcune centinaia di metri: l'ex marito è stato bloccato dai carabinieri del nucleo radiomobile, intervenuti sul posto, e condotto al carcere Lorusso e Cutugno.I sanitari del 118 e della Croce Verde di Villastellone sono arrivati intanto per soccorrere la donna, ma le sue condizioni sono apparse subito disperate. Trasportata all'ospedale Giovanni Bosco, è morta e i figli sono stati affidati a una comunità. Tra meno di un mese la loro mamma avrebbe compiuto 35 anni, ma l'ultima violenta lite le ha tolto per sempre la libertà che aveva cercato di conquistare denunciando i maltrattamenti da parte dell'ex marito, arrestato per questo lo scorso giugno. Le indagini sono coordinate dal pm Giuseppe Drammis e sono in corso accertamenti per comprendere la dinamica dell'accaduto e le ragioni per cui, nonostante il braccialetto elettronico indosso, collegato alla sala operativa della questura torinese, non siano scattate nei confronti dell'uomo le procedure d'allarme, com'è previsto dal Codice rosso. È uno degli aspetti su cui gli inquirenti vogliono far luce, anche perché l'uomo, secondo alcune testimonianze, era già stato visto vicino all'abitazione di lei altre volte di recente. Anche ieri pomeriggio, verso le 18. Sulla vicenda del braccialetto anche la politica vuole spiegazioni. Luana Zanella, capogruppo di Avs alla Camera, ha chiesto al ministro dell'Interno, Matteo Piantedosi, ""di spiegare la circostanza e di riferire in generale sui problemi legati all'uso di questo dispositivo"". Per l'episodio accaduto in mattinata nel Novarese, in un paese che si affaccia sul lago d'Orta, invece c'è una prognosi di guarigione per la donna, una senegalese di 39 anni: è di settanta giorni, nonostante le coltellate subite alle braccia e alle gambe. L'uomo che l'ha ferita, anche lui originario del Senegal, prima era andato a casa di lei, poi l'aveva trovata davanti alla scuola del loro bambino e investita con una Fiat Station Wagon. Mentre l'ex marito veniva bloccato dal padre di uno degli alunni delle elementari e da alcuni operai, la donna è stata soccorsa e trasportata in ospedale nella vicina Borgomanero. "
5,Ansa,2024-09-24,"
                                  Meloni incontra Zelensky a margine dell'assemblea Onu
                                ","     La premier Giorgia Meloni ha incontrato il presidente ucraino Volodymyr Zelensky a margine dei lavori della 79ma Assemblea Generale dell'Onu. Nel corso del colloquio, secondo quanto si è appreso, è stato ribadito il convinto sostegno dell'Italia alla legittima difesa dell'Ucraina, con l'obiettivo di creare le migliori condizioni possibili per una pace giusta e duratura.       L'Italia continuerà a essere in prima linea anche nel 2025 con l'organizzazione a Roma della Ukraine Recovery Conference e sarà al fianco dell'Ucraina per tutto il tempo necessario.      ""È sempre un piacere incontrare Giorgia Meloni. A margine dell'Assemblea generale delle Nazioni Unite, abbiamo concordato i nostri prossimi piani comuni. Sono grato a Giorgia per tutti i passi decisivi compiuti dal G7 sotto la presidenza italiana e per il suo impegno a promuovere sforzi congiunti per stabilire una pace duratura e giusta"".   Lo scrive su X il presidente ucraino Volodymyr Zelensky pubblicando una foto dell'abbraccio con la premier a New York."
6,Ansa,2024-09-24,"
                                  Inps: 'In pensione in media a 64,2 anni, c'è il rischio di squilibri'
                                ","L'età media effettiva di pensionamento in Italia è ancora troppo bassa e ""le previsioni Eurostat per l'Ue relative agli andamenti demografici fanno presagire un peggioramento del rapporto tra pensionati e contribuenti, con rischi crescenti di squilibri per i sistemi previdenziali, soprattutto per quei paesi, come l'Italia, dove la spesa previdenziale è relativamente elevata"". L'Inps nel suo Rapporto annuale segnala che l'età effettiva di uscita dal lavoro è di 64,2 anni, grazie alle misure che consentono l'anticipo pensionistico rispetto ai 67 previsti per l'età di vecchiaia e che questo, insieme a importi di pensione ancora generosi e superiori di quasi 14 punti a quelli della media europea mette a rischio il sistema. E' un alert al quale seguono poi rassicurazioni. Il presidente dell'Istituto, Gabriele Fava, sottolinea che ""la tenuta dei conti è assolutamente in equilibrio nel breve-medio periodo"", ma una riflessione va fatta e ""spetta al legislatore"". Sul tema torna nuovamente in serata l'Inps: ""non si ravvedono problemi di sostenibilità a lungo e breve termine - afferma l'istituto in una nota - soprattutto alla luce dei rassicuranti dati provenienti dal mercato del lavoro che nel 2023 ha fatto registrare il numero record di 26,6 milioni di assicurati, con ulteriori potenziali di crescita già riscontrate nei primi 6 mesi del 2024"". Inoltre l'età di pensionamento è in linea con quella degli altri Paesi Ue mentre il numero dei pensionati ""è sostanzialmente stabile intorno ai 16 milioni, così come il numero delle pensioni liquidate"" Nella discussione in vista della manovra il tema previdenziale sembra accantonato con la possibilità che ci si limiti a prorogare le misure esistenti quali Opzione donna e l'Ape sociale oltre a fare piccoli aggiustamenti sulle uscite verso la pensione dei lavoratori 'pubblici. Ma il tema in prospettiva andrà affrontato visto l'andamento demografico e una crescita occupazionale che pur sostenuta non può sostenere le pensioni in arrivo dei baby boomer. Negli anni tra il 1960 e il 1965 sono nati circa un milione di bambini l'anno mentre in questi ultimi anni si è scesi sotto quota 400mila. Nei prossimi otto anni la grande maggioranza di queste persone andrà in pensione e nel nostro sistema a ripartizione questi assegni andranno pagati con i contributi di chi resterà al lavoro, a meno di incrementare ulteriormente i trasferimenti dello Stato. L'occupazione cresce e nel 2023 l'Inps ha contato 26,6 milioni di iscritti che hanno lavorato almeno una settimana con una media pro capite che supera le 43 settimane, 1,08 milioni in più rispetto al 2019. Circa la metà della nuova occupazione è dovuta a lavoratori nati in Paesi extra Ue passati dai 2,61 milioni di iscritti del 2019 a 3,15 e un numero medio di 38,9 settimane. Le retribuzioni lorde sono aumentate dal 2019 del 6,8% ma non è stato recuperato l'aumento dei prezzi che ha superato nel periodo il 15%. Una parte del gap, sottolinea l'Istituto, è stato colmato nel periodo 21-23 grazie alla decontribuzione che ha fatto crescere i salari monetari netti del 10,4% anche se sempre meno dei prezzi. Il Rapporto dell'Inps conferma il gender gap sia sotto il profilo del lavoro che su quello degli importi di pensione. La probabilità di lasciare il lavoro dopo la nascita di un figlio è del 18% per le donne e dell'8% per gli uomini mentre i salari crescono rapidamente per i padri e restano stabilmente al di sotto di quelli degli uomini per le madri. Questo andamento è ancora più netto se si guarda alle pensioni perché riflettono periodi nei quali il tasso di occupazione delle donne era ancora più basso. Al 31 dicembre 2023 i pensionati erano circa 16,2 milioni, di cui 7,8 milioni di maschi e 8,4 milioni di femmine per un importo lordo complessivo delle pensioni erogate di 347 miliardi di euro. ""Sebbene rappresentino la quota maggioritaria sul totale dei pensionati (il 52%), si legge, le femmine percepivano il 44% dei redditi pensionistici, ovvero 153 miliardi di euro contro i 194 miliardi dei maschi. Per gli uomini il reddito da pensione è in media di 2.056,91 euro lordi mentre per le donne è di 1.524,35 euro, il 25,9% in meno rispetto agli uomini. ""Nel 2023 - ha detto la ministra del Lavoro, Marina Calderone - c'è stato un record di 26,6 milioni di assicurati con una tendenza crescente nel 2024. Aumenta il lavoro stabile. Dobbiamo però ancora integrare chi resta fuori dal mercato del lavoro, i giovani e le donne in particolare"". Per questo sarà essenziale la piattaforma Siisl. ""Mette in rete - ha concluso - lavoratori aziende, formatori, enti territoriali. Mira a diventare il più grande market place italiano""."
7,Ansa,2024-09-24,"
                                  Telegram cambia le regole: 'Collaborerà con le autorità giudiziarie'
                                ","L'app di messaggistica Telegram consegnerà alle autorità giudiziarie gli indirizzi IP delle connessioni per risalire all'identità delle persone e i numeri di telefono degli utenti nel caso di procedimenti legali nei loro confronti. Lo ha annunciato il fondatore di Telegram, Pavel Durov, in un post sul proprio canale. Un cambiamento per la piattaforma che ha ricevuto critiche per i contenuti, perché collaborava poco con le autorità e forniva i dati degli utenti solo in caso di sospetto di attività terroristiche.  La novità arriva dopo che a fine agosto Durov è stato arrestato a Parigi con l'accusa di essere complice delle attività illegali permesse da Telegram. E' stato poi rimesso in libertà sotto cauzione con il divieto di lasciare il territorio francese e l'obbligo di presentarsi due volte alla settimana alla polizia.  ""Non permetteremo che i malintenzionati mettano a repentaglio l'integrità della nostra piattaforma da quasi un miliardo di utenti"", ha affermato Durov nel suo messaggio. Secondo il fondatore di Telegram, la piattaforma nelle ultime settimane ha impiegato un team di moderatori che, usando l'intelligenza artificiale, ha reso la funzione di ricerca più sicura. ""Tutti i contenuti problematici sulla ricerca non sono più accessibili"", aggiunge Durov che sollecita gli utenti a segnalarli eventualmente al profilo @SearchReport. "
8,Ansa,2024-09-24,"
                                  
                                  In campo Torino-Empoli 1-1 - LIVE
                                ",In campo Torino-Empoli 1-1 LIVE partita valida per i sedicesimi di Coppa Italia. La vincente affronterà la Fiorentina GOL - al 74' pareggio del Torino con Adams GOL - Al 30' Empoli in vantaggio a Torino con un gol di Ekong
9,Ansa,2024-09-24,"
                                  
                                  Sulla morte di Purgatori 'una catastrofica sequela di errori'
                                ","""I neuro radiologi indagati refertarono non correttamente l'esame di risonanza magnetica dell'8 maggio 2023 per imperizia e imprudenza e quelli del 6 giugno e dell'8 luglio per imperizia. Il cardiologo Laudani effettuò approfondimenti diagnostici insufficienti"" e da lui, in particolare scrivono i periti, c'è stata ""una catastrofica sequela di errori ed omissioni"". E' quanto emerge nelle conclusioni della perizia medico-legale disposta dal gip del tribunale di Roma nell'ambito dell'incidente probatorio nell'indagine della Procura sulla morte del giornalista Andrea Purgatori. Nel registro degli indagati sono iscritti, per omicidio colposo il radiologo Gianfranco Gualdi, il suo assistente Claudio Di Biasi e la dottoressa Maria Chiara Colaiacomo, entrambi appartenenti alla sua equipe, e il cardiologo Guido Laudani. Per i periti ""un corretto trattamento diagnostico-terapeutico avrebbe consentito al paziente Purgatori un periodo di sopravvivenza superiore a quanto ebbe a verificarsi. La letteratura scientifica considera il tasso di sopravvivenza a 1 anno in misura dell'80% qualora l'endocardite venga tempestivamente adeguatamente trattata"". Nel documento si afferma che l'endocardite, che fu la causa del decesso di Purgatori, ""avrebbe potuto essere individuata più tempestivamente, per lo meno all'inizio del ricovero dal 10 al 23 giugno del 2023, o ancora prima, nella seconda età di maggio 2023 qualora i neuro radiologi avessero correttamente valutato l'esito degli accertamenti svolti l'8 maggio"". In riferimento all'operato di Laudani, i periti affermano che ""interpretò non correttamente i risultati dell'esame holter, giungendo alla conclusione che l'embolizzazione multiorgano fosse conseguenza di fibrillazione atriale. Inoltre non valutò adeguatamente il quadro clinico e gli effetti della terapia anticoagulante che aveva impostato. Si tratta - concludono - di comportamenti che possiamo definire non adeguati sotto l'aspetto della perizia"". Nel documento viene ricostruita anche la gestione clinica del paziente e in riferimento al ricovero del luglio del 2023 i periti affermano che Purgatori ""viene dimesso apparentemente senza visionare i risultati di un prelievo effettuato il giorno 19, dove si rileva la severa anemia che avrebbe controindicato la dimissione... Una catastrofica sequela di errori ed omissioni a partire, per questo aspetto, dalla errata diagnosi di fibrillazione atriale, con conseguente terapia anticoagulante rivelatasi potenzialmente fatale e di fatto controindicata nelle endocarditi, e con totale oscuramento del contesto clinico complessivo"".    "
